meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,spent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,labels
-559.9631958,81.71953583,-3.787181139,25.35212326,0.508512437,-0.908274829,-6.131216049,-10.28224945,-21.72570419,-6.420209408,-0.97973299,-7.762110233,2.119882584,-6.997494698,-3.012442112,1.051772118,-12.26717949,-3.598713636,-2.913467884,-3.800116062,male_happy
-420.3457646,39.73304095,10.39596689,13.45927073,1.300119223,-2.537600517,-4.471447764,-10.15006041,-13.44005412,-7.6703075,-2.741029681,-2.806720971,-0.982431386,-3.291034114,-2.493824264,-1.260682456,-7.441990768,-4.32412009,-0.706029629,-4.29447186,male_happy
-609.2479248,76.54217529,-5.450902939,25.3192482,-4.197246552,-2.210305452,-10.96040249,-14.48391247,-23.60643196,-4.434454918,-3.128504515,-6.370740891,2.061873913,-8.834897995,-1.505423069,-3.970365047,-13.19236755,-1.109665394,-2.659511566,-6.184388638,male_happy
-513.7929077,71.13050842,-9.73788929,8.493218422,-3.013964415,-1.764614701,-18.87916374,-12.1705122,-15.89065361,-12.03011322,-1.863563776,-10.20523548,-3.578471899,-5.458043575,-10.35703373,-0.5561288,-12.08014297,-4.744123459,-5.039690971,-7.154979706,male_happy
-318.6532125,26.25495228,5.172099497,2.152772325,-0.654913608,-3.482953831,-7.674181978,-8.635422074,-8.489207899,-7.213130611,-3.266242027,-1.84230962,-1.828383556,-2.84827954,-3.541439607,-2.957815209,-3.858079801,-3.023044192,-2.98792705,-4.436511579,male_happy
-576.3068237,69.7461853,-11.21037865,9.104872704,-5.53124094,-3.26926899,-23.87111092,-12.77827263,-18.68790817,-9.054550171,-2.423191786,-9.771040916,-1.958376765,-7.869743824,-10.26904106,-1.886712909,-13.52237415,-2.981639624,-7.308300495,-8.265489578,male_happy
-652.7544556,87.64665985,2.713348389,20.90351486,10.0691452,2.383481979,-5.915829659,-5.536598682,-15.03776741,-6.882810593,0.394058436,-4.395926952,-0.156528965,-4.558532715,-1.396951199,2.404289484,-8.463616371,-0.79165262,-2.339244604,-1.943409204,male_calm
-489.0958533,35.9186542,12.49022022,11.59088138,6.631238519,0.769847076,-4.171150066,-6.589890889,-9.24037942,-6.742812835,-2.46544265,-1.945023811,-1.734852097,-2.509515313,-0.993174585,-0.926450887,-4.901050629,-2.707027918,-1.26321797,-3.666516595,male_calm
-705.5432739,80.7101593,1.091936707,21.69586945,7.0521698,0.780384898,-8.552041054,-8.699866295,-17.79264641,-5.337479591,-1.426841378,-6.023955822,-1.29282999,-5.685173512,0.414821833,-0.675967276,-7.026868343,1.56584084,-3.158083677,-4.388036251,male_calm
-486.769928,79.0169754,-17.02467155,8.980195999,2.380782843,-3.170755148,-16.41968536,-9.577198029,-21.37987518,-11.56389904,3.065025091,-11.38566875,-2.575124979,-2.798634052,-10.15368652,0.69655484,-11.10543156,-7.867644787,-3.952348471,-6.523227215,male_happy
-348.4106957,36.55492095,0.58105667,3.193752349,1.598213047,-3.418158565,-8.157175247,-8.254359632,-13.20931459,-9.976646577,-0.949778858,-3.303382391,-2.243832827,-2.108094966,-4.555722723,-1.830238251,-5.917638696,-5.498410654,-2.55001595,-5.512931968,male_happy
-543.3793945,76.70251465,-18.06851578,10.61091805,-0.885592103,-6.012662411,-19.71917725,-11.14850426,-23.1714344,-7.651608467,0.902138591,-11.9618578,-0.106955297,-6.03404665,-8.465420723,-1.195425749,-15.14895248,-4.79580164,-5.084276676,-8.647830009,male_happy
-626.2628174,93.89724731,-0.691273749,17.83376312,9.502007484,2.030928373,-2.721135855,-8.514406204,-12.42749882,-6.575863361,-0.015911654,-2.750585318,0.777974725,-5.365466595,-0.337154329,1.482861042,-8.70328331,-2.76484561,-1.6180861,-1.523440719,male_calm
-396.0416715,27.47084521,13.22524636,9.5689249,4.645582308,1.986575433,-1.591044686,-6.147943103,-6.667301495,-4.999755565,-0.918449678,0.046698221,0.102937207,-0.912490055,-0.401996857,-1.481536191,-4.332008498,-2.969332659,-0.322417205,-2.219196095,male_calm
-683.9572754,90.01743317,-4.683877468,17.08873558,6.352098942,0.125328749,-6.658349991,-12.17751598,-15.77530003,-5.823636532,0.400240272,-2.189203024,-1.985399246,-7.311869621,-0.380162656,-2.598425627,-9.273966789,-2.697828054,-2.000966549,-5.755048275,male_calm
-272.1712646,39.43893051,-28.19851303,8.518516541,-11.21107674,-9.809755325,-15.8323679,-7.241955757,-22.76502228,-12.51653576,-9.012363434,-12.09942436,-7.861934185,-4.358917713,-9.955277443,-4.762124538,-18.83458138,-8.216936111,-8.129402161,-9.760596275,male_angry
-216.7052415,28.31258452,-12.70240892,4.639627854,-4.770731536,-8.526469822,-7.457418252,-4.165659719,-13.59246895,-9.923720657,-5.556262657,-9.089650044,-3.574058116,-3.427834359,-6.541198874,-4.251900945,-13.47908373,-7.035060436,-5.283938627,-8.959042729,male_angry
-325.6291199,33.77382278,-32.27765656,7.358685493,-14.5000658,-9.679564476,-17.73068619,-9.892953873,-25.66260338,-8.922865868,-9.79498291,-10.54969025,-6.339657784,-5.011046886,-11.0812645,-8.064301491,-20.15426064,-4.193830967,-11.98405457,-9.103840828,male_angry
-581.3403931,93.14125061,-1.388497233,24.13492012,9.577422142,-3.825746775,-3.480098963,-12.2257061,-16.15707397,-2.921084881,-5.340065956,-4.536442757,-1.855440378,-8.440695763,-3.746349573,0.992078364,-8.981679916,-5.069417477,-5.051621437,-0.550178468,male_sad
-575.3074335,90.71129275,-0.781822429,23.609012,9.576542401,-3.782984157,-3.78447418,-12.10682643,-16.09556834,-3.130141683,-5.164793689,-4.432963695,-1.762498822,-7.977875987,-3.821885619,1.075327619,-9.041240765,-5.290113082,-4.58036871,-0.86918341,male_sad
-635.0437012,87.99015045,-3.067100525,24.91235733,4.789275169,-5.053144932,-7.918243408,-16.67447853,-16.05478668,-2.341326237,-6.684137821,-3.557500839,-3.902381659,-8.382421494,-1.481639147,-0.871935248,-9.987143517,-3.975036144,-3.684160948,-2.257090569,male_sad
-424.1184998,78.07473755,-15.78089714,9.974235535,-2.377905607,-5.682432175,-17.27192879,-14.75670147,-28.30555916,-10.97748566,-3.596671581,-10.76251888,-1.378801107,-3.913878202,-12.72597504,1.044377446,-14.11793137,-8.410370827,-4.754827976,-4.473938465,male_happy
-291.2318783,32.94693959,4.268197938,3.130771718,0.412248591,-3.65977297,-7.430229297,-10.44526248,-14.73936131,-8.293826559,-2.418463757,-3.876250246,-0.397629534,-1.147829821,-4.647533534,-1.33461672,-5.28148663,-5.984292604,-1.453490467,-2.94259636,male_happy
-477.5406189,73.83590698,-19.30087662,9.398271561,-4.479371548,-7.164916039,-21.21636009,-19.63211441,-28.12970161,-6.672438145,-3.580014944,-8.75716114,-1.157480836,-7.995543957,-10.70737839,-1.797152519,-16.86165047,-5.474691391,-3.080897331,-5.37541008,male_happy
-643.5391846,74.68778992,-1.65442574,16.66793442,5.185094833,0.672246158,-4.452597141,-7.804122448,-15.0135088,-5.399967194,-0.586950302,-4.113428116,1.270108581,-4.779651165,-3.539861917,1.090910316,-7.247006416,-4.06398201,-0.514474213,0.192338169,male_neutral
-564.2657331,57.21226012,1.977393845,13.69173141,4.111801593,-0.067124686,-3.389379429,-8.976480017,-12.8337868,-5.951031707,-0.684012306,-3.07953612,0.356945364,-3.921809026,-3.509849406,0.257350452,-6.169154492,-4.587217621,-0.134934513,-1.14244548,male_neutral
-695.7855835,72.086586,-3.688423634,17.20294571,2.346012354,-0.526647627,-6.429608822,-10.3856144,-17.64017868,-3.283553362,0.056534603,-2.534278631,1.481749415,-5.601612568,-1.529718637,0.210469991,-7.734090328,-3.015487194,0.252410769,-2.29359293,male_neutral
-524.3326416,79.08663177,-10.55018139,13.03593922,5.203074932,-5.903104782,-12.18458748,-16.97711372,-24.14024734,-5.546065807,-5.709649086,-8.715482712,-1.294927716,-9.637569427,-4.082575321,3.48817277,-11.86779404,-6.44412756,-4.630099773,-4.626089096,male_fear
-392.359707,41.46928887,3.330365482,7.496598428,3.587385551,-4.353574869,-7.396511881,-12.85327886,-16.37195332,-7.782705501,-3.983704051,-5.355682248,-1.644617287,-5.138338131,-2.501526681,2.238084181,-6.988798705,-6.869699215,-2.326561085,-5.109969987,male_fear
-584.8430786,75.98912811,-13.26826668,12.41752434,-0.30109185,-9.120301247,-15.94699287,-20.89621925,-23.68754196,-3.570886612,-7.692313194,-7.176398754,-2.397876263,-10.41524506,-0.964314103,-0.613419473,-15.50193882,-6.242714405,-5.006266117,-7.429822445,male_fear
-575.1491699,87.50584412,-7.242190361,17.36766815,4.752767086,-4.243372917,-8.880583763,-9.391901016,-16.98733139,-3.424151182,-2.723942041,-9.511482239,0.778850079,-6.519213676,-4.102514267,3.057026863,-11.76211166,-3.840443611,-4.009184361,-3.377505779,male_happy
-418.8687422,41.93929552,7.023580981,10.21131424,3.225610377,-4.081414579,-4.850417591,-8.621305863,-10.50039982,-5.951388898,-4.312565208,-5.210962202,-2.173088431,-3.416181835,-2.756241517,-0.377857266,-6.203200141,-5.503291816,-1.126666174,-3.998742977,male_happy
-629.1863403,79.97544861,-10.37584591,18.50555801,-0.805178702,-7.603239059,-11.01615715,-11.82355309,-17.85317802,-2.388226986,-4.781252384,-8.333504677,1.8445611,-7.365167618,-1.801874399,0.353839904,-11.90223694,-0.832552969,-2.884856462,-4.701948643,male_happy
-633.6090088,96.62257385,2.388429642,16.39085579,13.28337955,1.822878361,-7.098701,-6.407790661,-12.61310482,-6.619574547,1.921578407,-3.105680704,-0.880134881,-4.72420311,-2.875940084,1.835824609,-7.684363842,-2.857129335,-1.661313415,-1.791626453,male_calm
-528.0054279,55.6900792,13.95353992,12.49430266,9.317463102,2.486001208,-5.274097304,-7.784883969,-9.406797373,-6.32687428,-0.333735476,-2.136485554,-2.277085275,-2.933299855,-2.034101565,-0.698721856,-6.138608506,-4.450805784,-0.274544415,-2.484357984,male_calm
-695.5557861,92.18839264,-0.440706819,17.31932068,9.920721054,-0.33007744,-10.2897768,-7.799019814,-14.85403728,-4.233879089,1.611509681,-3.37932992,-1.648154974,-5.249763489,-2.547663212,-1.114743352,-9.325572968,-0.698705375,-1.224367023,-4.579597473,male_calm
-505.0092468,64.00009918,-2.749659538,16.95037079,-1.089467525,-2.046432734,-7.82998085,-8.716752052,-19.27331734,-5.294091225,-5.58445549,-5.783628464,-1.870990634,-7.146637917,-3.675262928,-0.451763541,-11.25340939,-3.521276951,-3.48284173,-5.802355289,male_angry
-315.6473029,23.0851829,9.071773092,8.238048066,0.060876618,-1.77957032,-3.996405652,-6.841754828,-9.990541385,-5.968225803,-3.335962128,-2.180162325,-1.517954883,-2.50149467,-2.01038892,-1.062371794,-4.796047683,-2.284777353,-0.522506282,-4.459349788,male_angry
-556.4358521,61.20464325,-4.598423958,15.05083752,-5.376835346,-4.117797852,-12.27892971,-13.38486099,-21.55454636,-3.731112957,-5.441132069,-3.472257376,-3.20217514,-7.219020367,-2.843669176,-3.08701086,-12.05034637,-1.228101134,-5.128227711,-8.440217018,male_angry
-546.125,76.01927185,-7.793992996,16.05033112,5.017382622,-4.930520058,-13.32308483,-10.11415291,-22.98756409,-6.098678589,-3.718934774,-9.88866806,0.081074148,-6.844921589,-8.000231743,2.209510088,-13.89439869,-4.660819054,-1.437722087,-3.587101936,male_sad
-329.2559437,23.04496062,8.907077649,6.702388745,2.728478762,-1.723453456,-3.302968946,-7.054133247,-8.786453503,-5.788629226,-3.297478387,-2.434626717,-1.687391409,-2.020935492,-1.43461411,-0.84334756,-4.009491511,-3.310946191,-0.979953024,-2.304651016,male_sad
-605.8286133,72.01647186,-9.58872509,14.35076141,0.562361121,-6.691625595,-15.27981377,-14.23843479,-23.68733406,-3.803940058,-5.805697918,-8.835150719,0.185457915,-9.001898766,-4.397838116,-0.308605462,-13.63266182,0.171864659,-2.144254446,-7.824729443,male_sad
-509.6769409,76.21849823,-6.788342476,20.31451416,2.828595161,-4.097980499,-11.0460701,-12.75986862,-24.38031006,-5.286235809,-2.579022408,-8.623549461,0.110049106,-9.075563431,-6.38411665,2.487952948,-12.41092587,-6.165175438,-4.710354328,-3.584731579,male_sad
-357.4173493,34.20767479,8.683779489,12.40828868,2.956594377,-2.754574509,-7.171422424,-12.66697663,-14.05136179,-7.491109879,-2.538929974,-3.709437914,-1.489845567,-3.225491708,-2.449729489,0.954140222,-5.505134925,-6.16236685,-0.648924932,-3.279456178,male_sad
-563.0650024,72.36927032,-8.699412346,19.29379845,-2.294751644,-4.802378654,-14.72745705,-18.19101143,-24.45836067,-2.024306059,-2.899960756,-5.937720299,-0.722546697,-11.16881275,-2.870373487,-0.117865898,-14.09939098,-3.857922792,-4.109059334,-6.098980904,male_sad
-415.9065857,63.87566376,-9.814709663,13.45893192,-6.323144913,-4.840179443,-12.03605747,-12.57017708,-21.31777763,-9.669736862,-7.581063271,-9.690187454,-6.077946186,-6.912939072,-7.66097784,-4.344318867,-13.74682617,-2.37227726,-9.281431198,-6.395984173,male_angry
-300.6808387,30.57040863,3.597020634,8.197791286,-2.981971696,-3.786339593,-5.581229027,-7.277337414,-10.43219103,-8.700791237,-4.706964764,-5.423287354,-3.696748387,-3.826514949,-3.790466323,-3.539182194,-7.177616802,-3.754659006,-4.363288489,-4.753051051,male_angry
-468.06604,60.99296188,-12.09421253,14.8551321,-9.894200325,-5.497175694,-13.70439911,-15.09876347,-23.75209618,-8.194067955,-9.312027931,-9.93157196,-6.715464115,-7.601043701,-8.014104843,-7.191219807,-13.16051483,-1.502301574,-10.58807564,-5.466569424,male_angry
-581.9162598,88.51522827,-3.838016033,18.74621391,2.082544565,0.21404177,-8.477640152,-9.871638298,-19.99517441,-4.329436779,2.863437176,-9.540112495,2.30491066,-5.460030079,-1.413700819,2.659455776,-9.988794327,-2.488089323,-1.800773501,-4.378759861,male_happy
-454.2459072,47.26506217,9.780946334,10.97873631,1.202217684,-3.251469034,-6.14320931,-10.45622086,-14.41742351,-5.879745058,-0.928446096,-4.046669219,-1.451115312,-3.13904631,-1.657947941,-0.364840969,-6.616496574,-4.194311103,-0.991163601,-4.026099644,male_happy
-638.8876343,86.89186859,-5.82957983,19.07015991,-0.741783977,-0.414393455,-11.2852335,-12.82692814,-21.37199402,0.213684604,2.504920244,-6.839762211,2.052778721,-5.817592144,0.603396773,-2.608788729,-11.51497173,-0.726053417,-3.107614994,-5.917143822,male_happy
-646.1414795,73.06661987,0.403143615,16.84804344,9.805768013,1.096762419,-4.758567333,-3.82185483,-14.99922466,-3.379040003,0.610257447,-3.628367186,2.119564533,-4.571883202,0.18245475,1.418680787,-5.783636093,-2.084638357,-2.130158663,-0.869077802,male_neutral
-417.1488339,25.6365828,9.38855971,8.587536502,4.737065086,0.315375511,-2.524497944,-6.531327347,-8.762250991,-5.614818181,-2.194355219,-1.798431007,-0.946135169,-1.544294159,-0.953729489,-1.117717589,-3.08381735,-2.09662881,0.175413351,-2.534223093,male_neutral
-708.5628662,69.49339294,-1.611991882,17.75016594,7.006721497,-0.331699491,-8.311811447,-6.556717396,-17.36870766,-0.728369355,0.089457422,-3.099600792,0.686089396,-5.10326767,-0.051994719,-2.975570679,-6.936842442,-1.736894369,-2.334951878,-4.732156277,male_neutral
-526.5205688,84.46616364,-6.822328568,22.75691986,8.021370888,-0.836709976,-6.375116348,-13.9505167,-15.80180454,-1.701237679,-3.240356445,-2.120919943,-1.001573205,-5.576651573,-0.277860761,0.180504933,-5.214783669,-4.889361382,-1.206443548,2.497520924,male_fear
-396.8376044,37.77341608,8.182960869,11.64991182,5.764866132,0.576924382,-4.557972388,-10.80811854,-11.25632037,-5.970813584,-2.828745911,-1.856768517,-1.828905351,-3.344828796,-2.048119111,0.490861861,-4.506220335,-5.742788991,0.595017744,-1.148276147,male_fear
-587.6899414,80.48271179,-6.40305233,23.12344551,4.0551548,-1.238168955,-8.721780777,-16.60759926,-17.11089897,-0.889984488,-2.832838535,-1.788975358,-3.731086254,-6.236201763,0.076035112,-0.829525888,-8.405733109,-5.756994247,0.992415607,-3.284730434,male_fear
-566.2145996,97.03514099,-6.062902451,23.42183113,8.063339233,4.597282887,-7.927789211,-11.62419319,-15.76383305,-5.863483429,4.476945877,-0.566733301,-0.65574491,-7.919662476,-1.396759629,1.081027865,-7.951787949,-3.266312838,-2.245881081,-0.055231377,male_calm
-526.1605167,74.13921375,5.907752868,17.58872699,7.7373561,3.57889,-7.991105444,-12.26195153,-14.09864148,-6.505606087,3.560642358,0.499651277,-1.68394679,-6.110690898,-2.182967221,0.024732077,-7.979552173,-5.22243348,-0.295423872,-2.205804765,male_calm
-625.8850708,92.54654694,-8.667554855,24.20015144,3.094999075,3.631677151,-13.81628418,-15.81796551,-19.03980827,-3.983403921,3.526314259,-1.026195645,-3.392569065,-7.454510212,1.194732308,-0.679188251,-8.41467762,-1.898230672,0.03896464,-4.423508644,male_calm
-229.1499786,44.94847107,-31.67275238,0.850347281,-20.26327705,-8.151190758,-21.00967216,-18.35687637,-21.36701965,-12.74424362,-10.38228035,-6.44045639,-11.59042835,-9.068366051,-8.646867752,-1.193271756,-12.32681847,4.454832077,2.34815526,6.989972115,male_angry
-133.5456874,23.37525644,-11.38698278,-2.01618496,-10.77191776,-6.846543381,-7.708570958,-8.7846052,-9.075611065,-7.345118605,-4.664966678,-3.405114673,-5.80469395,-5.881066831,-3.52528276,-2.342447843,-4.827786481,2.808760537,4.983110572,4.698048988,male_angry
-279.8323059,39.60438919,-34.66919327,0.68551749,-23.56574821,-9.774260521,-23.76376915,-18.50382614,-22.48371124,-10.21711349,-9.897036552,-4.856250763,-11.5573225,-8.599266052,-7.670043945,-3.093702078,-10.48709774,9.856594086,2.018548489,10.17038727,male_angry
-584.8273926,90.30742645,6.490704536,19.37017822,3.973089695,7.530117989,-8.527729034,-7.721212387,-13.79684448,-8.630124092,0.128610253,1.308905244,-0.838944256,-6.156766891,0.925106049,-1.688289046,-9.609992981,-3.746284962,-2.714289427,-0.7576828,male_calm
-447.007134,37.84222172,18.80058161,11.8870014,2.99787062,4.80140298,-3.310444305,-7.721416803,-6.782190252,-6.917126886,-1.92930929,1.235818922,-1.781470012,-2.03030108,-0.543773147,-2.31751388,-5.964017475,-4.199139543,-1.288677999,-3.896832839,male_calm
-639.3787231,85.83585358,5.615477562,20.38589478,0.740671098,8.449349403,-12.74078465,-10.96786213,-16.22139168,-5.174815655,1.570716143,1.380369306,-3.771658659,-5.42056179,2.968364716,-4.134067535,-8.712311745,-3.900010824,-3.058619499,-6.929111958,male_calm
-564.3097534,87.88272095,-8.893479347,21.7965107,8.451457977,-1.911380768,-9.674582481,-6.327281952,-19.51127815,-1.575368762,-0.337377667,-8.554103851,4.186765671,-5.20723772,-3.61119628,4.755057335,-11.33677483,-3.552098036,-0.016289778,-2.115351439,male_happy
-435.3624617,48.9347839,2.347239406,11.92547444,6.141266389,-4.740877346,-6.420712597,-9.174052371,-14.9933286,-4.731962632,-2.549652646,-4.867939632,0.313788192,-4.071297957,-3.169230385,0.846337314,-7.936858981,-5.089030449,0.989290501,-3.66151985,male_happy
